reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
32589398-96e0-4cbe-85cc-9fac2daa443e,OREO 999,https://play-lh.googleusercontent.com/a-/ALV-UjX0jpP_7SdNjygNTTQSlEI3ncI2DFpE0Nai4I53Sl9mK_rupXWK,"Kebanyakan eror sekarang, jadi takut....",1,0,,2025-01-20 09:08:42,"Halo, Jagoan! Mohon maaf atas kendala yang kamu alami ya. Saya mengerti situasi sulit ini mengganggu kamu. Mohon kesediaannya mengirimkan email ke tanya@jago.com dengan melampirkan bukti foto/tangkapan layar kendala kamu. Agar dapat segera kami bantu.",2025-01-20 09:34:13,
5c0c7369-18e7-4d6c-86e3-19ab0c110073,Said Hasbi,https://play-lh.googleusercontent.com/a-/ALV-UjX3-94AS8cvWmrVTuDYIlDRKEiTukL2hWyorQe_rJ0T_QkSL-rd,jago yg betul kau kenapa udah login masaan bisa keluar lagi udah bolak balik ngelapor gak ada titik terang nya terakhir nya gak bisa di pake rekening nya,1,0,8.57.0,2025-01-20 08:48:47,"Halo, Jagoan! Mohon maaf atas kendala yang kamu alami ya. Saya mengerti situasi sulit ini mengganggu kamu. Mohon kesediaannya mengirimkan email ke tanya@jago.com dengan melampirkan bukti foto/tangkapan layar kendala kamu. Agar dapat segera kami bantu.",2025-01-20 09:06:59,8.57.0
ae59bdad-d79e-4b7b-b6fc-ba74c5845283,Arok Crc,https://play-lh.googleusercontent.com/a/ACg8ocL0mRT669IBTijjG_CjvLV_YeHQQtmXW_yeqDMcUw13dCxV_zQ=mo,"Bank jago emang jagoan,, mantappp 👍👍",5,0,8.57.0,2025-01-20 08:12:50,,,8.57.0
bda691bb-ba5e-4d44-9b52-85ec906fce9e,Thoyib Pratomo,https://play-lh.googleusercontent.com/a-/ALV-UjUKX7CNhxTtzs07QhcUX0xrFKej3-FizyxYK28ka1WzAtP7Nor_,"Penyelesaian masalah kurang profesional, rekening diambil alih orang sudah kasihkan bukti kuat dan penjelasan hingga lapor ke polisi hasilnya sangat tidak memuaskan. Mungkin 100rb saya biarkan. Masalahnya 10jtan",1,0,8.57.0,2025-01-20 08:07:22,"Halo, Jagoan! Mohon maaf atas ketidaknyamanan yang Kakak alami. Supaya bisa membantu lebih lanjut, Kakak bisa menginformasikan detail keluhannya melalui email tanya@jago.com ya. Tim terkait kami dengan senang hati akan membantu Kakak menyelesaikan permasalahannya.",2025-01-20 08:31:57,8.57.0
8760c586-88fe-4e4c-886d-ac5d3d9dd380,Jessie Edgina,https://play-lh.googleusercontent.com/a-/ALV-UjWSey4JN1yWFQBhCM0dXaolyfDC8vmnGx2H2Hapo8-wLBVeGVI8,good,5,0,8.57.0,2025-01-20 07:41:46,,,8.57.0
d479278f-6105-4569-b5d4-d79e696a1dcc,Fajar Miroji,https://play-lh.googleusercontent.com/a/ACg8ocIlUDLDMMgBwjhvX57nQj7AYH0EgfDvT0nSO0I61gpWlm_0cg=mo,"nyaman, mudah, terpercaya",5,0,8.57.0,2025-01-20 07:37:20,,,8.57.0
110218de-50d5-4353-92b2-9530177bf660,Angger Dayat,https://play-lh.googleusercontent.com/a-/ALV-UjUvD4hgrvb-uB40FE0QfLCBXxM6diJpBesgmDqyf9W1aX3Sm86w,"Udah sering transaksi lah ko pinjaman belum muncul"" ya sampai sekarang",1,0,8.55.0,2025-01-20 07:36:09,"Halo, Jagoan! Mohon maaf atas ketidaknyamanan yang Kakak alami. Supaya bisa membantu lebih lanjut, Kakak bisa menginformasikan detail keluhannya melalui email tanya@jago.com ya. Tim terkait kami dengan senang hati akan membantu Kakak menyelesaikan permasalahannya.",2025-01-20 08:07:24,8.55.0
4b31cb65-a319-4468-898b-c73a1b62d58f,Rina Norse,https://play-lh.googleusercontent.com/a/ACg8ocJJHGC3kdIcjwc0h73jkUYMS-AdX_969wIGA4j0ngzvgZTCNQ=mo,Aplikasi ribett,1,0,,2025-01-20 06:44:30,"Halo, Jagoan! Mohon maaf atas ketidaknyamanannya ya. Untuk kendala yang kamu alami, bisakah diinformasikan secara detail ke Tanya Jago di nomor 1500746 /+62 21 3000 0746 atau email ke tanya@jago.com? Kami dengan senang hati akan membantu kamu. :)",2025-01-20 07:10:00,
11e97c6c-3bd5-4b2b-9d76-5bdbd5493e38,Nesah Asep,https://play-lh.googleusercontent.com/a/ACg8ocJ8SLR0GnGdj50HpBJPImrE1CJx1OYu1vp5IIS9dgoafx4N=mo,Bagus pengiriman cepat,5,0,8.57.0,2025-01-20 06:20:12,,,8.57.0
b9d02f95-c02b-4740-8d07-8075bca2831e,Semmy Zega,https://play-lh.googleusercontent.com/a-/ALV-UjVijjXP1otHPhd2hNlI0PyQJ5USAFbqFlWuh4vDfr005Oiu9H-U-Q,Rekomended👍,5,2,8.57.0,2025-01-20 06:08:15,,,8.57.0
0124039e-22d4-48e2-9cc7-66e594fdda2d,Rosa Herdiansyah,https://play-lh.googleusercontent.com/a-/ALV-UjW4bXPFbPHARQnK6uikDAjbuR0cHlHp_xEho7BNQic0palAcC0t,"Bank yang aneh, sekali ngasih bonus 30rb lho! Gimana kalau pakai semua fiturnya?",5,0,8.57.0,2025-01-20 06:03:11,,,8.57.0
c0e89c41-d2d1-45af-be6e-d9dcd7787388,Ar rahman,https://play-lh.googleusercontent.com/a-/ALV-UjWvo5w_I0Pdr6b0q5brlBORN7SWs8XlXu_0Lyn7yGr8VOD078a_,pemakaian mudah dan cepat,5,1,8.57.0,2025-01-20 05:33:01,,,8.57.0
5c32238c-d738-44a8-ab1c-f04549192cc9,Rian,https://play-lh.googleusercontent.com/a/ACg8ocLm3bMx_ysndtRzAlGahnoIGiesZis4gDhr1ihq0cnm6BRR9w=mo,Cukup bagus,4,0,,2025-01-20 05:30:46,"Hai, Jagoan. Terima kasih atas rating yang telah kamu berikan untuk aplikasi Jago. Selamat menikmati kemudahan bertransaksi dan fitur-fitur menarik dari Bank Jago ya. Jika kamu memiliki kritik serta saran atau mengalami kendala, silakan hubungi di nomor 1500746 / 021-30000746 atau e-mail ke tanya@jago.com. Dengan senang hati kami akan membantumu.",2025-01-20 06:03:29,
